order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1000,1022,1,69.13,0.0
2,1001,1061,1,156.46,0.0
2,1001,1090,3,42.32,0.0
4,1002,1056,1,203.45,0.0
4,1002,1054,1,34.3,0.0
6,1003,1002,1,67.11,0.0
7,1004,1057,1,194.48,0.0
7,1004,1049,1,99.06,0.0
7,1004,1086,1,91.38,0.0
10,1005,1083,3,90.43,0.0
10,1005,1019,1,39.27,0.0
12,1006,1001,1,36.36,0.0
13,1007,1046,1,639.26,0.0
14,1008,1054,1,34.3,0.0
14,1008,1050,1,138.13,0.0
14,1008,1035,1,100.58,0.0
17,1009,1088,3,41.46,0.0
18,1010,1040,1,1029.67,0.0
19,1011,1012,1,44.35,0.0
19,1011,1056,1,203.45,0.0
19,1011,1085,1,46.31,0.0
22,1012,1082,2,52.97,0.0
23,1013,1069,3,160.51,0.0
24,1014,1006,1,35.72,0.0
25,1015,1009,1,69.18,0.0
26,1016,1051,1,138.75,0.0
26,1016,1032,1,319.94,0.0
28,1017,1017,1,51.27,0.0
29,1018,1026,1,647.46,0.0
29,1018,1001,1,36.36,0.0
31,1019,1016,1,77.28,0.0
31,1019,1042,1,227.11,0.0
33,1020,1084,1,59.0,0.0
33,1020,1091,2,55.48,0.0
35,1021,1073,1,116.43,0.0
36,1022,1064,3,227.42,0.0
36,1022,1059,1,147.27,0.0
36,1022,1014,1,67.55,0.0
39,1023,1027,1,504.49,0.0
39,1023,1011,1,39.64,0.0
39,1023,1021,1,59.85,0.0
42,1024,1008,1,41.08,0.0
43,1025,1084,1,59.0,0.0
43,1025,1067,1,196.26,0.0
43,1025,1035,1,100.58,0.0
46,1026,1053,1,81.38,0.0
47,1027,1041,1,201.9,0.0
48,1028,1051,1,138.75,0.0
49,1029,1004,1,69.11,0.0
50,1030,1078,3,55.06,0.0
51,1031,1094,1,85.98,0.0
52,1032,1008,2,41.08,0.0
53,1033,1016,1,77.28,0.0
54,1034,1041,1,201.9,0.0
55,1035,1033,2,873.93,0.0
56,1036,1031,1,244.09,0.0
56,1036,1037,2,756.71,0.0
58,1037,1045,1,392.31,0.0
58,1037,1079,1,61.11,0.0
60,1038,1091,1,55.48,0.0
61,1039,1047,1,76.32,0.0
62,1040,1046,2,639.26,0.0
63,1041,1074,1,39.9,0.0
64,1042,1011,1,39.64,0.0
65,1043,1012,1,44.35,0.0
65,1043,1044,1,586.31,0.0
67,1044,1033,1,873.93,0.0
68,1045,1062,1,247.15,0.0
68,1045,1055,3,185.41,0.0
68,1045,1089,1,35.23,0.0
71,1046,1018,1,82.3,0.0
71,1046,1042,1,227.11,0.0
73,1047,1096,2,20.16,0.0
74,1048,1041,1,201.9,0.0
74,1048,1009,2,69.18,0.0
76,1049,1050,1,138.13,0.0
76,1049,1069,1,160.51,0.0
78,1050,1001,1,36.36,0.0
79,1051,1065,1,123.39,0.0
80,1052,1042,1,227.11,0.0
